2023-02-21 17:33:13,669 INFO    StreamThr :7461 [internal.py:wandb_internal():90] W&B internal server running at pid: 7461, started at: 2023-02-21 17:33:13.668578
2023-02-21 17:33:13,672 DEBUG   HandlerThread:7461 [handler.py:handle_request():144] handle_request: status
2023-02-21 17:33:13,675 INFO    WriterThread:7461 [datastore.py:open_for_write():85] open: /home/andrea/PycharmProjects/data_exfiltration_tabular/wandb/run-20230221_173313-2x7hjw3j/run-2x7hjw3j.wandb
2023-02-21 17:33:13,678 DEBUG   SenderThread:7461 [sender.py:send():336] send: header
2023-02-21 17:33:13,689 DEBUG   SenderThread:7461 [sender.py:send():336] send: run
2023-02-21 17:33:14,271 INFO    SenderThread:7461 [dir_watcher.py:__init__():216] watching files in: /home/andrea/PycharmProjects/data_exfiltration_tabular/wandb/run-20230221_173313-2x7hjw3j/files
2023-02-21 17:33:14,273 INFO    SenderThread:7461 [sender.py:_start_run_threads():1070] run started: 2x7hjw3j with start time 1676997193.666597
2023-02-21 17:33:14,273 DEBUG   SenderThread:7461 [sender.py:send_request():363] send_request: summary_record
2023-02-21 17:33:14,274 INFO    SenderThread:7461 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-21 17:33:14,275 DEBUG   HandlerThread:7461 [handler.py:handle_request():144] handle_request: check_version
2023-02-21 17:33:14,276 DEBUG   SenderThread:7461 [sender.py:send_request():363] send_request: check_version
2023-02-21 17:33:14,421 DEBUG   HandlerThread:7461 [handler.py:handle_request():144] handle_request: run_start
2023-02-21 17:33:14,423 DEBUG   HandlerThread:7461 [system_info.py:__init__():31] System info init
2023-02-21 17:33:14,423 DEBUG   HandlerThread:7461 [system_info.py:__init__():46] System info init done
2023-02-21 17:33:14,423 INFO    HandlerThread:7461 [system_monitor.py:start():151] Starting system monitor
2023-02-21 17:33:14,423 INFO    SystemMonitor:7461 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-21 17:33:14,423 INFO    HandlerThread:7461 [system_monitor.py:probe():172] Collecting system info
2023-02-21 17:33:14,423 INFO    SystemMonitor:7461 [interfaces.py:start():168] Started cpu
2023-02-21 17:33:14,424 INFO    SystemMonitor:7461 [interfaces.py:start():168] Started disk
2023-02-21 17:33:14,425 INFO    SystemMonitor:7461 [interfaces.py:start():168] Started memory
2023-02-21 17:33:14,425 INFO    SystemMonitor:7461 [interfaces.py:start():168] Started network
2023-02-21 17:33:14,430 DEBUG   HandlerThread:7461 [system_info.py:probe():195] Probing system
